a	啊
lu4	僇勠录戮渌漉潞琭璐甪碌禄稑箓簏菉蕗赂路辂辘逯陆露鹭鹿麓𫘧
luan2	娈孪峦挛栾滦脔銮鸾
luan3	卵
luan4	乱
lun1	抡
lun2	仑伦囵沦纶轮𬬭
lun3	𫭢
lun4	论
luo1	啰
luo2	摞泺洛漯珞络荦落雒骆
luo3	倮瘰蓏蠃裸
luo4	椤猡箩罗脶萝螺逻锣骡
lv2	榈闾驴𦝼
lv3	侣吕屡履捋旅梠稆缕膂褛铝
lv4	垏律氯滤率绿葎虑
lve4	圙掠略锊䂮
m2	呣
ma	吗嘛
ma1	妈嬷孖
ma2	蟆麻
ma3	玛码蚂马
ma4	唛杩犸祃骂
mai2	埋霾
mai3	买荬
mai4	劢卖脉迈麦鿏
man1	嫚颟
man2	瞒蛮谩鞔馒鬘鳗
man3	满螨
man4	墁幔慢曼漫缦蔓镘𬜬
mang1	牤
mang2	尨忙杧氓牻盲硭芒茫邙
mang3	漭莽蟒
mao1	猫
mao2	旄毛牦矛茅茆蝥蟊锚髦
mao3	卯峁昴泖铆
mao4	冒帽懋楙瑁眊瞀耄芼茂袤貌贸鄚
me	么
mei2	媒嵋枚梅楣没湄煤玫瑂眉莓郿酶镅霉鹛
mei3	媄每浼渼美镁
mei4	妹媚寐昧袂魅
men	们
men2	扪钔门𫞩
men4	懑焖闷
meng2	幪朦檬甍盟瞢礞艨萌蒙虻鹲㠓𫑡
meng3	勐懵猛獴艋蜢蠓锰
meng4	孟梦
mi1	咪眯
mi2	弥猕祢糜縻蘼谜迷醚醾靡麋
mi3	弭敉洣米脒芈
mi4	嘧宓密幂汨泌祕秘蜜觅谧
mian2	棉眠绵
mian3	丏偭免冕勉勔娩愐沔渑湎眄缅腼黾𩾃
mian4	面
miao1	喵
miao2	描瞄苗鹋
miao3	杪淼渺眇秒缈藐邈
miao4	妙庙
mie1	乜咩
mie4	灭篾蔑
min2	岷忞旻民珉碈缗苠
min3	悯愍抿敏泯湣皿闵闽鳘
ming2	冥名明暝洺溟瞑茗蓂螟铭鸣
ming3	酩
ming4	命
miu4	谬
mo1	摸
mo2	墨寞末殁沫漠瘼秣耱茉莫蓦藦貊貘镆陌靺默𬙊
mo3	抹
mo4	嫫摩摹模磨膜蘑谟馍魔麽
mou1	哞
mou3	某
mou4	侔牟眸缪蛑谋鍪
mu2	毪
mu3	亩姆拇母牡𧿹𬭁
mu4	仫募墓幕慕暮木沐牧目睦穆苜钼
n2	嗯
na2	拿镎
na3	乸哪
na4	呐娜捺纳肭衲那钠𦰡
nai3	乃奶氖艿迺
nai4	奈柰耏耐萘鼐
nan1	囡
nan2	南喃楠男难
nan3	腩萳蝻赧
nan4	婻
nang1	囔
nang2	囊馕
nang3	攮曩
nang4	齉
nao1	孬
nao2	呶峱挠猱硇蛲铙
nao3	垴恼瑙脑
nao4	淖臑闹
ne	呢
ne4	讷
nei3	馁
nei4	内
nen4	嫩恁
neng2	能
ni1	妮
ni2	倪坭尼怩泥猊铌霓鲵麑𫐐𫠜
ni3	你拟旎薿
ni4	伲匿昵溺睨腻逆𨺙
nian1	拈蔫
nian2	年鲇黏
nian3	捻撵碾辇辗
nian4	埝廿念
niang2	娘
niang4	酿
niao3	茑袅鸟
niao4	尿脲
nie1	捏
nie4	啮嗫孽嵲涅糵聂臬菍蘖蹑镊镍陧颞𫔶
nin2	您
ning2	凝咛宁拧柠狞甯聍苧
ning4	佞泞
niu1	妞
niu2	牛
niu3	忸扭狃纽钮
nong2	弄
nong4	侬农哝浓秾脓𬪩
nou2	耨
nu2	奴孥笯驽
nu3	努弩砮胬
nu4	傉怒
nuan3	暖
nuo2	喏懦搦糯诺锘
nuo4	傩挪
nv3	女钕
nv4	恧衄
nve4	疟虐
o1	喔噢
o4	哦
ou1	欧殴沤瓯讴鸥𫭟𬉼
ou2	怄
ou3	偶呕耦藕𠙶
pa1	啪舥葩趴
pa2	杷潖爬琶筢
pa4	帕怕
pai1	拍
pai2	俳徘排牌簰
pai4	哌派湃蒎
pan1	攀潘
pan2	槃爿盘磐磻蟠蹒
pan4	判叛泮畔盼袢襻
pang1	乓滂雱
pang2	厖庞彷旁螃逄鳑
pang3	耪
pang4	胖
pao1	抛脬
pao2	刨匏咆庖狍袍
pao3	跑
pao4	泡炮疱
pei1	呸胚衃醅
pei2	培裴赔锫陪
pei4	佩帔旆沛辔配霈𬇙
pen1	喷
pen2	湓盆
peng1	嘭怦抨澎烹砰
peng2	堋弸彭朋棚硼篷膨芃蓬蟛鹏
peng3	捧
peng4	椪碰
pi1	丕伾劈噼坯批披狉砒纰邳铍霹𬳵
pi2	啤埤枇毗琵疲皮罴脾芘蚍蜱貔郫陴鲏鼙
pi3	仳匹嚭圮痞癖苉
pi4	僻媲屁淠澼甓睥譬辟䴙
pian1	偏犏篇翩
pian2	楩胼谝蹁骈㛹
pian3	𡎚
pian4	片骗
piao1	剽缥螵飘
piao2	嫖瓢薸
piao3	殍瞟
piao4	嘌漂票
pie1	撇氕瞥
pie3	苤𬭯
pin1	姘拼
pin2	嫔玭贫频颦𬞟
pin3	品
pin4	牝聘
ping1	乒俜娉涄
ping2	凭坪屏帡平枰泙洴淜玶瓶苹荓萍蚲评鲆
po	桲
po1	坡泊泼钋䥽
po2	珀破粕迫酦魄
po3	叵笸钷颇
po4	婆皤鄱
pou1	剖
pou4	抔掊裒
pu1	仆噗扑潽
pu2	匍墣濮璞穙脯莆菩葡蒱蒲酺镤
pu3	圃埔普朴氆浦溥谱蹼镨
pu4	曝瀑铺
qi1	七凄嘁妻戚期柒栖桤槭欺沏漆萋蹊郪
qi2	亓俟其圻埼奇岐崎愭旗棋歧淇琦琪畦祁祇祈祺綦耆脐芪萁蕲蛴蜞跂锜颀骐骑鲯鳍麒齐䓫𨙸𬨂𬮿
qi3	乞企启呇婍屺岂杞棨玘綮绮芑起
qi4	器契弃憩气汔汽泣砌碛碶磜葺讫迄
qia1	掐葜
qia2	拤
qia4	恰洽髂
qian1	仟佥千圲孅岍悭愆扦搴杄汧牵签芊褰谦迁钎铅阡骞鹐
qian2	乾前墘掮潜虔钤钱钳靬黔
qian3	浅缱肷谴遣
qian4	伣倩堑嵌慊椠欠歉芡茜蒨𬘬
qiang1	呛戕戗枪玱羌腔蜣跄锖锵镪
qiang2	墙嫱强樯蔃蔷
qiang3	抢羟襁
qiang4	炝
qiao1	劁悄敲橇硗缲跷锹
qiao2	乔侨憔桥樵瞧硚荞谯鞒
qiao3	巧愀
qiao4	俏峭撬窍翘诮鞘
qie2	癿
qie3	且
qie4	切妾怯惬挈窃箧郄锲
qin1	亲侵嵚衾钦骎
qin2	勤嗪噙慬擒檎溱琴禽秦芩芹
qin3	寝锓
qin4	吣揿沁
qing1	倾卿圊氢清蜻轻青鲭
qing2	勍情擎晴檠氰黥
qing3	庼苘请顷
qing4	庆碃磬箐罄
qiong1	芎
qiong4	琼穷穹筇茕蛩邛銎䓖
qiu1	丘楸秋萩蚯邱鞧鳅鹙
