a	啊
qiu2	俅囚巯求泅犰球璆虬蝤裘訄赇逑遒酋鼽𨱇
qiu3	糗
qu1	区坥屈岖岨曲祛胠蛆蛐袪诎趋躯驱麹黢㭕䓛𪨰
qu2	劬朐氍渠灈璩癯瞿磲蕖蘧蠼衢鸲鼩
qu3	取娶竘龋
qu4	去觑趣阒
quan1	圈悛棬𨟠
quan2	佺全婘拳权泉瑔痊筌荃蜷诠辁醛铨颧鬈鳈
quan3	犬畎绻
quan4	券劝
que1	缺阙
que2	瘸
que4	却埆悫榷确碏阕雀鹊𬒈
qun1	囷逡
qun2	群裙
ran2	然燃蚺髯
ran3	冉染苒䎃
rang2	儴瀼瓤禳穰蘘
rang3	嚷壤攘
rang4	让
rao2	娆桡荛饶
rao3	扰
rao4	绕
re3	惹
re4	热
ren2	人仁壬
ren3	忍稔荏
ren4	仞任刃妊纫纴葚衽认讱轫韧饪
reng1	扔
reng2	仍
ri4	日驲
rong1	茸
rong3	冗
rong4	容嵘戎榕溶熔狨瑢绒荣蓉蝾融镕
rou2	肉
rou4	揉柔糅蹂鞣
ru2	儒嚅如嬬孺濡茹薷蠕襦铷颥
ru3	乳汝辱
ru4	入洳溽缛蓐褥
ruan2	堧
ruan3	媆瓀软阮
rui2	蕤
rui3	蕊
rui4	枘汭瑞睿芮蚋锐
run4	润闰
ruo2	偌弱爇箬若蒻鄀
sa1	仨挲撒
sa3	洒潵靸
sa4	卅脎萨飒
sai1	噻塞腮鳃
sai4	赛
san1	三叁毵
san3	伞糁霰馓
san4	散
sang1	桑
sang3	嗓搡磉颡
sang4	丧
sao1	搔溞缫臊骚
sao3	嫂扫
sao4	埽瘙
se4	啬洓涩瑟璱穑色铯
sen1	森
seng1	僧
sha1	刹杀沙煞痧砂纱莎裟铩鲨
sha2	啥
sha3	傻
sha4	厦唼歃霎
shai1	筛酾
shai4	晒
shan1	删埏姗山杉潸煽珊膻舢芟苫衫跚钐
shan3	晱闪陕
shan4	剡善墡嬗扇掞擅汕疝缮膳蟮讪赡鄯骟鳝𫮃
shang	裳
shang1	伤商墒殇熵觞
shang3	垧晌赏
shang4	上尚绱
shao1	捎梢烧稍筲艄蛸
shao2	勺柖玿芍苕韶
shao3	少
shao4	劭哨潲睄绍邵
she1	奢猞畬畲赊𪨶
she2	佘舌蛇
she3	舍
she4	厍射慑摄歙涉滠社设赦麝
shei2	谁
shen1	伸侁呻娠屾棽深燊珅甡申砷绅莘诜身鲹𬳽
shen2	什甚神𬬹
shen3	哂婶审沈瞫矧谂
shen4	慎椹渗瘆肾胂蜃
sheng1	升声昇牲生甥笙陞
sheng2	绳
sheng3	省眚
sheng4	剩圣嵊盛胜
shi	匙
shi1	失尸师施浉湿狮蓍虱诗邿鲺鸤䴓𫚕
shi2	十埘实拾时湜炻石祏莳蚀识食鲥鼫
shi3	使史始屎矢豕驶
shi4	世事仕似侍势嗜噬士奭媞室市式弑恃拭是柿栻氏示筮舐螫襫视誓试谥豉贳轼适逝释铈饰䏡𬤊
shou1	收
shou2	兽受售寿授狩瘦绶
shou3	守手艏首
shu1	书倏叔姝抒摅枢梳殊殳毹淑疏纾舒菽蔬输鄃陎
shu2	塾婌孰熟秫赎
shu3	属暑曙署薯蜀黍鼠
shu4	墅庶恕戍数术束树沭漱澍竖腧述隃𬬸
shua1	刷唰
shua3	耍
shuai1	摔衰
shuai3	甩
shuai4	帅蟀
shuan1	拴栓闩
shuan4	涮腨
shuang1	双孀礵霜骦鹴
shuang3	爽
shui3	水
shui4	帨睡税
shun3	吮
shun4	瞬舜顺
shuo1	说
shuo2	妁搠朔槊烁硕蒴铄
si1	丝凘厮司咝嘶思撕斯楒澌私缌虒蛳锶飔鸶㟃
si3	死
si4	兕嗣四姒寺巳汜泗涘祀笥耜肆饲驷
song1	凇娀崧嵩忪松淞菘
song2	宋讼诵送颂
song3	怂悚竦耸㧐
sou1	嗖廋搜溲艘蒐螋锼飕馊
sou2	嗽
sou3	叟嗾擞瞍薮
su1	甦稣窣苏酥
su2	俗
su4	傃僳嗉塑夙宿愫涑溯簌粟素肃蔌觫诉谡蹜速骕鹔𫗧
suan1	狻酸
suan4	算蒜
sui1	濉眭睢荽葰虽
sui2	绥隋随
sui3	髓
sui4	岁旞燧璲碎祟穗穟襚谇遂邃隧𫟦𬭼
sun1	孙狲荪飧
sun3	损榫笋隼
suo	嗦
suo1	唆嗍娑桫梭睃缩羧蓑
suo2	溹
suo3	唢所琐索锁
ta1	他塌她它溻褟趿铊
ta3	塔溚獭鳎鿎
ta4	拓挞榻踏蹋遢闼鞳
tai1	胎
tai2	台抬炱苔薹跆邰鲐
tai4	太态汰泰肽酞钛
tan1	坍摊滩瘫贪
tan2	倓坛惔昙榃檀潭痰磹覃谈谭郯锬
tan3	坦忐毯璮菼袒钽
tan4	叹探炭碳
tang1	嘡汤羰耥蹚铴镗
tang2	唐堂塘搪棠樘溏瑭糖膛螗螳鄌饧䣘
tang3	倘傥帑淌躺镋
tang4	烫趟
tao1	弢慆掏涛滔绦韬饕
tao2	啕桃梼洮淘绹萄逃陶鼗𫘦
tao3	讨
tao4	套
te4	忑忒慝特螣铽
teng1	熥
teng2	滕疼縢腾藤誊䲢
ti1	剔擿梯踢锑䴘
ti2	啼提瑅绨缇荑蹄遆醍题鳀鹈𫘨
ti3	体
ti4	倜剃嚏屉悌惕替涕裼趯逖
tian1	天添黇
tian2	填恬沺湉甜田畋盷阗
tian3	忝晪殄淟腆舔
tian4	掭
tiao1	佻挑祧
tiao2	条笤蜩迢髫鲦龆
tiao3	嬥朓窕
tiao4	眺粜跳
tie1	帖萜贴
tie3	铁
tie4	餮
ting1	厅听桯汀烃町𬘩
ting2	亭停婷庭廷渟莛葶蜓霆䗴
ting3	侹圢挺梃烶珽艇颋
tong1	嗵通
tong2	恸痛
tong3	捅桶筒统㛚
tong4	仝佟僮同哃峂彤曈桐橦潼烔瞳砼童茼酮铜鲖𦒍𫍣
tou1	偷
tou2	透
tou3	钭
tou4	头投骰
tu1	凸秃突葖㻬
tu2	图屠徒梌涂稌腯荼菟途酴𬳿
tu3	吐土钍
tu4	兔堍
tuan1	湍煓猯
tuan2	团抟
tuan3	疃
tuan4	彖
tui1	推
tui2	颓魋𬯎
tui3	腿
tui4	煺蜕褪退
tun1	吞暾焞
tun2	坉屯忳臀豚饨鲀
tuo1	侂托拖脱
tuo2	唾柝箨萚
tuo3	妥庹椭
tuo4	佗坨橐沱砣跎酡陀驮驼鸵鼍𬶍
wa	哇
wa1	娲挖洼畖窊蛙
wa2	娃
wa3	佤瓦
wa4	腽袜
wai1	歪
wai3	崴
wai4	外
wan1	剜塆婠弯湾蜿豌
wan2	丸完烷玩纨芄顽
wan3	婉宛惋挽晚椀琬畹皖碗绾脘菀
wan4	万妧腕𬇕
wang1	尪汪
wang2	亡王
wang3	往惘枉网罔辋魍
wang4	妄忘旺望
wei1	偎危威巍微溦煨萎葳薇逶隈鳂
wei2	唯围圩峗嵬帏帷惟桅沩洈涠潍琟硙维违闱韦𣲗𬶏
wei3	亹伟伪委娓尾洧炜猥玮痿硊纬艉苇薳诿韪鲔𫇭𬀩𬱟
wei4	为位卫味喂尉慰未渭煟猬畏碨胃蔚螱谓霨魏鳚𬭬
wen1	榅温瘟蕰辒鳁
wen2	文炆玟纹芠蚊闻阌雯𫘜
wen3	刎吻稳紊
wen4	汶璺问
weng1	嗡滃翁鹟𬭩
weng3	蓊
weng4	瓮蕹
wo1	倭挝涡窝莴蜗踒
wo2	偓卧幄握斡沃涴渥硪肟龌
wo3	我
wu1	乌呜圬屋巫污洿诬邬钨
wu2	吴吾唔无梧毋浯珸芜蜈郚铻鹀鼯
wu3	五仵伍侮午呒妩庑忤怃捂旿武牾珷舞鹉𣲘
wu4	兀务勿坞婺寤屼悟戊晤杌焐物痦芴误迕鋈雾靰骛鹜
xi1	俙傒僖兮吸唏嘻夕奚嬉嶲巇希恓息悉惜憙昔晞晰曦析樨汐浠淅溪烯熄熙熹熻爔牺犀皙睎硒稀穸窸粞羲翕肸膝舾菥蜥螅蟋西觿谿豨郗酅醯锡饻鼷㴔
xi2	习媳嶍席檄袭觋隰鳛𠅤𫘬
xi3	喜屣徙暿枲洗玺禧葸蓰铣𬭳𬶮
xi4	咥屃戏潟禊系细绤舄郤阋隙饩
xia1	瞎虾
xia2	侠匣峡暇柙狎狭瑕硖翈辖遐霞黠
xia4	下吓夏罅
xian1	仙先忺掀暹氙祆籼纤莶跹酰锨鲜𬸣
xian2	伭咸娴嫌弦挦涎痫舷衔贤闲鹇𫍯
xian3	冼崄显燹狝猃禒筅藓蚬跣险㬎
xian4	县宪岘献现硍线缐羡腺苋限陷馅𪾢𬀪
xiang1	乡厢湘瓖相箱缃芗葙襄镶香骧𬙋
xiang2	庠祥翔详
xiang3	享响想飨饷鲞
xiang4	像向巷橡珦象项
xiao1	哓哮嚣宵枭枵消潇猇硝箫绡翛萧虓蟏逍销霄骁魈鸮
xiao2	崤洨淆
xiao3	小晓皛筱𫍲
xiao4	啸孝效敩校涍笑肖
xie1	些揳楔歇蝎
xie2	偕勰协挟携撷斜缬胁谐邪鞋㙦
xie3	写
xie4	亵偰卸屑廨懈械榍榭泄泻渫澥瀣燮獬绁薢薤蟹谢躞邂𤫉𬹼
xin1	心忻新昕欣歆炘芯薪辛鑫锌馨䜣𫷷
xin3	伈
xin4	信囟衅
xing1	惺星煋猩瑆腥骍
xing2	刑型形硎荥行邢钘铏陉𫰛
xing3	擤醒
xing4	兴姓婞幸性悻杏荇
xiong1	兄凶匈汹胸讻
xiong2	夐诇
xiong4	熊雄
xiu1	休修咻庥羞脩貅馐髹鸺䗛
xiu3	朽滫
xiu4	嗅岫溴珛琇秀绣袖锈
xu	蓿
xu1	吁嘘墟媭戌旴湑盱胥虚谞需须顼魆𦈡𬣙
xu2	徐
xu3	冔栩珝糈许诩醑
xu4	勖叙垿婿序恤旭昫洫溆煦絮绪续蓄酗㳚
xuan1	儇喧宣愃暄煊瑄禤翾萱谖轩𫍽𫓶
xuan2	悬旋暶漩玄玹璇痃𫠊
xuan3	咺晅烜癣选
xuan4	昡楦泫渲炫琄眩碹绚衒铉
xue1	削薛靴
xue2	学峃穴茓踅
xue3	雪鳕
xue4	血谑
xun1	勋埙曛熏獯窨薰醺𫄸
xun2	寻峋巡循恂旬栒洵浔珣荀荨询驯鲟𬊈𬍤𬘓𬩽
xun4	噀巽徇殉汛蕈训讯迅逊
ya	呀
ya1	丫压吖垭押桠鸦鸭
ya2	伢堐岈崖涯牙玡琊睚芽蚜衙
ya3	哑雅
ya4	亚娅揠氩猰砑讶轧迓
yan1	嫣崦恹淹湮漹烟焉胭腌鄢阉
yan2	严妍岩延檐沿炎盐研筵芫虤蜒言闫阎颜𫄧
yan3	俨偃兖厣奄弇戭扊掩棪沇渰演琰甗眼罨蝘衍郾魇黡鼹䶮𪩘𬙂𬸘
yan4	厌咽唁堰墕嬿宴彦晏滟烻焰焱燕砚艳觃谚谳赝酽雁餍验
yang1	咉央殃泱秧鞅鸯
yang2	佯垟徉扬旸杨洋炀烊疡羊蛘钖阳飏
yang3	仰养氧痒
yang4	怏恙样漾羕
yao1	吆夭妖幺腰邀㙘
yao2	垚姚媱尧峣徭摇滧爻猺珧瑶窑繇肴谣轺遥鳐
yao3	咬崾杳窅窈舀
yao4	曜耀药要钥靿鹞
ye1	倻噎掖椰
ye2	揶爷耶铘
ye3	也冶野
ye4	业叶堨夜晔曳楪液烨腋谒邺靥页馌
yi1	一伊依医咿噫壹揖欹洢漪猗祎繄衣铱黟
yi2	仪匜咦圯夷姨宜宧嶷彝怡扅椸沂疑痍眙移簃胰诒贻迤遗颐饴
yi3	乙以佁倚已扆旖椅矣舣苡蚁踦酏钇𫖮𬺈
yi4	乂义亦亿佚佾刈劓勚呓埸奕嫕屹峄廙异弈弋役忆怿悒意懿抑挹易杙枍殪毅浥溢潩熠燚疫瘗癔益绎缢羿翊翌翳翼肄臆艺薏蜴螠裔裛议译诣谊轶逸邑镒镱驿鹝鹢㑊𫄷𬟁𬬩
yin1	喑因堙姻愔歅殷氤洇溵禋茵荫铟阴音骃𬘡𬤇𬮱
yin2	吟嚚垠夤寅崟淫狺珢蟫訚鄞银霪龂
yin3	吲尹引瘾蚓隐饮
yin4	印慭胤茚䲟
ying1	嘤婴媖应撄樱瑛璎缨罂膺英莺锳鹦鹰䓨
ying2	嬴楹溁滢潆瀛盈茔荧莹萤营萦蓥蝇赢迎
ying3	影瘿郢颍颖
ying4	媵映硬
yo1	哟唷
yong1	佣墉壅庸慵拥澭痈臃邕鄘镛雍饔鳙
yong2	用㶲
yong3	俑勇咏埇恿栐永泳涌甬蛹踊鲬
yong4	喁颙
you1	优呦幽忧悠攸耰麀
you2	佑侑又右囿宥幼柚祐蚴诱釉鼬
you3	卣友有槱牖羑莠酉铕黝
you4	尢尤油浟游犹猷由疣莜莸蚰蝣邮铀鱿鲉𬨎
yu1	淤瘀纡迂
yu2	于余俞妤娱嵎嵛愉愚揄於榆欤渔渝狳玙瑜盂禺窬竽腴臾舁舆艅萸虞蝓褕觎谀逾邘隅雩髃鱼
yu3	与予伛俣圄圉宇屿峿庾敔瑀瘐禹窳羽语鄅雨龉㺄
yu4	喻圫域堉妪寓峪彧御悆愈昱棫欲毓浴淯滪潏煜燏燠狱玉矞聿育芋蓣薁蜮裕誉谕豫遇遹郁钰阈预饫驭鬻鹆鹬
yuan1	冤渊眢箢蜎鸢鸳
yuan2	元原员园圆垣塬嫄援橼沅湲源爰猿缘羱螈袁辕鼋𫘪
yuan3	远
yuan4	垸媛怨愿掾瑗苑院
yue1	彟曰约
yue4	刖岳悦月樾瀹爚玥籥粤越跃钺阅龠𫐄𬸚
yun1	晕氲煴缊赟馧𫖳
yun2	云匀妘昀沄涢筠筼纭耘芸郧鋆
yun3	允殒狁陨
yun4	孕恽愠熨蕴运郓酝韫韵
za1	匝咂拶臜
za2	杂砸
za3	咋
zai1	哉栽灾甾
zai3	仔宰崽
zai4	再在载
zan1	簪糌
zan2	咱
zan3	寁攒昝趱
zan4	暂瓒赞錾
zang1	牂臧赃
zang3	驵
zang4	奘脏葬
zao1	糟遭
zao2	凿
zao3	早枣澡璪藻蚤
zao4	唣噪慥灶燥皂簉躁造𥖨
ze2	则啧帻择泽笮箦舴责赜迮
ze4	仄昃
zei2	贼鲗
zen3	怎
zen4	谮
zeng1	增憎矰缯罾鄫䎖
zeng4	甑赠锃
zha1	劄吒哳喳奓扎挓揸楂渣齇
zha2	札铡闸
zha3	拃眨砟鲊鲝
zha4	乍咤柞栅榨溠炸痄蚱诈霅䃎
zhai1	摘斋
zhai2	宅
zhai3	窄
zhai4	债寨瘵
zhan1	嶦旃栴毡沾瞻粘詹谵鳣鹯𫗴
zhan3	展崭搌斩盏飐
zhan4	偡占战栈湛站绽蘸
zhang1	嫜张彰暲樟漳獐璋章蟑鄣
zhang3	仉掌涨长
zhang4	丈仗嶂帐幛杖瘴胀账障
zhao1	啁招昭钊𬬿
zhao3	找沼爪
zhao4	兆召旐曌棹照笊罩肇诏赵𬶐
zhe	着
zhe1	蜇遮
zhe2	哲喆折晢磔蛰詟谪辄辙
zhe3	啫者褶赭锗
zhe4	柘浙蔗这鹧䗪
zhen1	侦斟桢榛浈珍瑧甄真砧祯禛箴胗臻葴蓁贞针
zhen3	昣枕畛疹稹缜袗诊轸鬒
zhen4	圳振揕朕瑱纼赈镇阵震鸩
zheng1	争峥征徵怔挣烝狰睁筝蒸诤钲铮
zheng3	拯整
zheng4	帧政正症证郑
zhi1	之卮吱支枝栀榰汁泜知祗禔稙织肢胝脂芝蜘𦭜
zhi2	侄值埴执摭植殖直絷职跖踯
zhi3	只咫址扺指旨枳止沚祉纸芷茋趾轵酯黹
zhi4	制峙帙帜庤彘志忮挚掷晊智栉桎梽治滍滞炙畤疐痔痣秩稚窒置至致蛭觯豸质贽跱踬轾郅铚锧陟雉骘鸷𬃊
zhong1	中忠柊盅终舯螽衷钟锺
zhong2	仲众茽重
zhong3	冢种穜肿踵
zhou1	周州洲粥舟诌赒辀鸼
zhou2	咒宙昼皱籀纣绉胄荮酎骤㑇㤘
zhou3	帚肘
zhou4	妯轴
zhu1	侏朱株槠橥洙潴猪珠茱蛛诛诸邾铢
zhu2	烛瘃竹竺舳蠋躅逐
zhu3	主嘱拄渚煮瞩麈𬣞
zhu4	伫住助杼柱注炷疰砫祝筑箸纻翥苎著蛀贮铸驻
zhua1	抓髽
zhuai1	拽
zhuan1	专砖颛䏝
zhuan3	转
zhuan4	僎啭撰瑑篆赚馔
zhuang1	妆庄桩装
zhuang4	壮撞漴状
zhui1	追锥隹骓
zhui4	坠惴缀缒赘
zhun1	窀肫衠谆
zhun3	准𬘯
zhuo1	倬拙捉桌棁涿䦃
zhuo4	卓叕啄擢斫晫椓汋浊浞濯灼禚茁诼酌镯䓬𬸦
zi	子
zi1	兹咨嗞姿孜孳嵫淄滋粢缁觜訾赀资趑辎鄑锱镃髭鲻鼒龇
zi3	姊梓滓秭笫籽紫耔虸
zi4	字恣渍眦自
zong1	倧宗棕综腙踪鬃鬷
zong2	疭粽纵
zong3	偬总
zou1	诹邹鄹陬驺鲰
zou2	奏揍
zou3	走
zu1	租
zu2	卒崒族足镞
zu3	俎珇祖组诅阻
zuan1	躜钻
zuan3	纂缵
zuan4	攥
zui3	嘴
zui4	最槜罪蕞醉
zun1	尊嶟樽遵鳟𨱔
zun3	僔噂撙
zuo2	作做唑坐岞座怍祚胙阼
zuo3	佐左
zuo4	捽昨琢
